function_name,current_args,family,action
a_angle,"n_years, payments_per_year, rate, rate_type, m, deferral_years, timing, perpetuity, payment, output",FM_annuities,standardize_args
A_xj,"md, x, i, cause, product, benefit, n, m, tidy, check, tol",multiple_decrements,review_or_keep
amort_schedule,"principal, n, rate, rate_type, m, periods_per_year, timing, payment, extra_principal, adjust, tol",FM_amortization,standardize_args
annuity_arith,"n_years, payments_per_year, rate, rate_type, m, deferral_years, timing, pattern, first_payment, increment, valuation, output",FM_annuities,standardize_args
annuity_geom,"n_years, payments_per_year, rate, rate_type, m, growth_rate, growth_rate_type, growth_m, deferral_years, timing, first_payment, perpetuity, valuation, output",FM_annuities,standardize_args
annuity_multi,"lt, ages, annuity, cohort, alpha, n, m, k, timing, woolhouse, i",life_multi_life_products,standardize_args
annuity_x,"mortality_table, age, rate, rate_type, m, term_years, deferral_years, payments_per_year, timing, woolhouse, output",life_single_products,standardize_args
annuity_xy,"mortality_table, age_x, age_y, rate, rate_type, m, cohort, benefit, term_years, deferment_years, payments_per_year, timing, woolhouse, frac, output",life_two_life_products,standardize_args
apv_life_flow,"lt, ages, time, date, start_date, cf, i, status, alpha, plot",life_contingent_cashflows,standardize_args
bond_book_value,"face, coupon_rate, years_to_maturity, valuation_time, coupons_per_year, yield_effective_per_period, yield_rate, yield_rate_type, yield_m, redemption, tol, check, output",FM_bonds,standardize_args
bond_callable_price,"face, coupon_rate, years_to_maturity, coupons_per_year, call_times, call_prices, yield_effective_per_period, yield_rate, yield_rate_type, yield_m, redemption, tol, check, output",FM_bonds,standardize_args
bond_cash_flows,"face, coupon_rate, years_to_maturity, coupons_per_year, redemption, tol, check",FM_bonds,standardize_args
bond_convexity,"face, coupon_rate, years_to_maturity, coupons_per_year, y_effective_per_period, y_rate, y_type, y_m, redemption, tol, check",FM_bonds,standardize_args
bond_duration,"face, coupon_rate, years_to_maturity, coupons_per_year, y_effective_per_period, y_rate, y_type, y_m, redemption, tol, check",FM_bonds,standardize_args
bond_price,"face, coupon_rate, years_to_maturity, coupons_per_year, y_effective_per_period, y_rate, y_type, y_m, redemption, tol, check",FM_bonds,standardize_args
bond_ytm,"price, face, coupon_rate, years_to_maturity, coupons_per_year, redemption, interval, tol, maxiter, check",FM_bonds,standardize_args
commutation_table,"lt, i, check",life_tables,review_or_keep
discount_factor_spot,"time, rate, rate_type, m, output",FM_time_value,standardize_args
e_x,"lt, x, t, type, frac, tidy, check, tol",life_survival_primitives,review_or_keep
e_xy,"lt, x, y, t, type, frac, cohort, tidy, check, tol",life_survival_primitives,review_or_keep
