function_name,family,proposed_action,new_name_or_replacement,risk_level
Da_angle,annuities_fm,merge_into_annuity_arith,annuity_arith(),medium
Da_angle_tbl,annuities_fm,merge_remove_tbl,Da_angle(output = 'table'),low
Ia_angle,annuities_fm,merge_into_annuity_arith,annuity_arith(),medium
Var_annuity_x,annuities_fm,remove,NA,low
a_angle_tbl,annuities_fm,merge_remove_tbl,a_angle(output = 'table'),low
arithmetic_annuity_av_tbl,annuities_fm,merge_remove_tbl,arithmetic_annuity_av(output = 'table'),low
arithmetic_annuity_pv_tbl,annuities_fm,merge_remove_tbl,arithmetic_annuity_pv(output = 'table'),low
ga_angle,annuities_fm,merge_into_annuity_geom,annuity_geom(),medium
ga_angle_tbl,annuities_fm,merge_remove_tbl,ga_angle(output = 'table'),low
gs_angle,annuities_fm,merge_into_annuity_geom,annuity_geom(),medium
gs_angle_tbl,annuities_fm,merge_remove_tbl,gs_angle(output = 'table'),low
s_angle_tbl,annuities_fm,merge_remove_tbl,s_angle(output = 'table'),low
bond_book_value_tbl,bonds,merge_remove_tbl,bond_book_value(output = 'table'),low
bond_callable_price_tbl,bonds,merge_remove_tbl,bond_callable_price(output = 'table'),low
portfolio_convexity_tbl,immunization,merge_remove_tbl,portfolio_convexity(output = 'table'),low
portfolio_duration_tbl,immunization,merge_remove_tbl,portfolio_duration(output = 'table'),low
discount_factor_spot_tbl,interest_theory,merge_remove_tbl,discount_factor_spot(output = 'table'),low
forward_rate_tbl,interest_theory,merge_remove_tbl,forward_rate(output = 'table'),low
future_value_tbl,interest_theory,merge_remove_tbl,future_value(output = 'table'),low
present_value_tbl,interest_theory,merge_remove_tbl,present_value(output = 'table'),low
yield_curve_tbl,interest_theory,merge_remove_tbl,yield_curve(output = 'table'),low
Var_insurance_x,life_single,remove,NA,low
