function_name,family,proposed_action,new_name_or_replacement,risk_level,notes
Da_angle,annuities_fm,merge_into_annuity_arith,annuity_arith(),medium,
Da_angle_tbl,annuities_fm,merge_remove_tbl,Da_angle(output = 'table'),low,
Ia_angle,annuities_fm,merge_into_annuity_arith,annuity_arith(),medium,
Var_annuity_x,annuities_fm,remove,NA,low,
a_angle,annuities_fm,keep_review,a_angle,low,
a_angle_tbl,annuities_fm,merge_remove_tbl,a_angle(output = 'table'),low,
annuity_multi,annuities_fm,mark_experimental,annuity_multi,high,
annuity_x,annuities_fm,keep_review,annuity_x,low,
annuity_xy,annuities_fm,keep_review,annuity_xy,low,
arithmetic_annuity_av_tbl,annuities_fm,merge_remove_tbl,arithmetic_annuity_av(output = 'table'),low,
arithmetic_annuity_pv_tbl,annuities_fm,merge_remove_tbl,arithmetic_annuity_pv(output = 'table'),low,
ga_angle,annuities_fm,merge_into_annuity_geom,annuity_geom(),medium,
ga_angle_tbl,annuities_fm,merge_remove_tbl,ga_angle(output = 'table'),low,
gs_angle,annuities_fm,merge_into_annuity_geom,annuity_geom(),medium,
gs_angle_tbl,annuities_fm,merge_remove_tbl,gs_angle(output = 'table'),low,
s_angle,annuities_fm,keep_review,s_angle,low,
s_angle_tbl,annuities_fm,merge_remove_tbl,s_angle(output = 'table'),low,
bond_book_value,bonds,keep_review,bond_book_value,medium,
bond_book_value_tbl,bonds,merge_remove_tbl,bond_book_value(output = 'table'),low,
bond_callable_price,bonds,keep_review,bond_callable_price,medium,
bond_callable_price_tbl,bonds,merge_remove_tbl,bond_callable_price(output = 'table'),low,
bond_cash_flows,bonds,keep_review,bond_cash_flows,medium,
bond_convexity,bonds,keep_review,bond_convexity,medium,
bond_duration,bonds,keep_review,bond_duration,medium,
bond_price,bonds,keep_review,bond_price,medium,
bond_ytm,bonds,keep_review,bond_ytm,medium,
immunize_duration,immunization,keep_review,immunize_duration,medium,
immunize_duration_convexity,immunization,keep_review,immunize_duration_convexity,medium,
portfolio_convexity_tbl,immunization,merge_remove_tbl,portfolio_convexity(output = 'table'),low,
portfolio_duration_tbl,immunization,merge_remove_tbl,portfolio_duration(output = 'table'),low,
discount_factor_spot,interest_theory,keep_review,discount_factor_spot,low,
discount_factor_spot_tbl,interest_theory,merge_remove_tbl,discount_factor_spot(output = 'table'),low,
forward_rate_tbl,interest_theory,merge_remove_tbl,forward_rate(output = 'table'),low,
future_value,interest_theory,keep_review,future_value,low,
future_value_tbl,interest_theory,merge_remove_tbl,future_value(output = 'table'),low,
fv_flow,interest_theory,keep_review,fv_flow,low,
interest_equivalents,interest_theory,keep_review,interest_equivalents,low,
irr_flow,interest_theory,keep_review,irr_flow,low,
irr_flow_multi,interest_theory,keep_review,irr_flow_multi,low,
present_value,interest_theory,keep_review,present_value,low,
present_value_tbl,interest_theory,merge_remove_tbl,present_value(output = 'table'),low,
pv_flow,interest_theory,keep_review,pv_flow,low,
standardize_interest,interest_theory,keep_review,standardize_interest,low,
yield_curve_tbl,interest_theory,merge_remove_tbl,yield_curve(output = 'table'),low,
Var_insurance_x,life_single,remove,NA,low,
e_x,life_single,keep_review,e_x,medium,
e_xy,life_single,keep_review,e_xy,medium,
insurance_x,life_single,keep_review,insurance_x,medium,
insurance_xj,life_single,keep_review,insurance_xj,medium,
insurance_xy,life_single,keep_review,insurance_xy,medium,
km_lifetable,life_single,keep_review,km_lifetable,medium,
lifetable,life_single,keep_review,lifetable,medium,
plot_km,life_single,keep_review,plot_km,medium,
premium_x,life_single,keep_review,premium_x,medium,
premium_xy,life_single,keep_review,premium_xy,medium,
reserve_x,life_single,keep_review,reserve_x,medium,
reserve_xy,life_single,keep_review,reserve_xy,medium,
t_Ex,life_single,keep_review,t_Ex,medium,
t_px,life_single,keep_review,t_px,medium,
t_pxy,life_single,keep_review,t_pxy,medium,
t_qx,life_single,keep_review,t_qx,medium,
t_qxj,life_single,keep_review,t_qxj,medium,
amort_schedule,loans,keep_review,amort_schedule,low,
sinking_fund_schedule,loans,keep_review,sinking_fund_schedule,low,
md_table,multiple_decrement,keep_review,md_table,high,
plot_cash_flow,plots,keep_review,plot_cash_flow,low,
plot_immunization_gap,plots,keep_review,plot_immunization_gap,low,
A_xj,review,keep_review,A_xj,low,
apv_life_flow,review,mark_experimental,apv_life_flow,high,
commutation_table,review,keep_review,commutation_table,low,
insurance_variable_k,review,mark_experimental,insurance_variable_k,high,
lt_tau,review,keep_review,lt_tau,low,
mortality_law_table,review,keep_review,mortality_law_table,low,
premium_gross,review,mark_experimental,premium_gross,high,
