function_name,arguments
lifetable,"x, lx, qx, px, mx, radix, omega, close, ax, type, frac, check, tol"
t_px,"lt, x, t, frac, tidy, check, tol"
t_qx,"lt, x, t, frac, tidy, check, tol"
t_Ex,"lt, x, t, i, frac, tidy, check, tol"
e_x,"lt, x, t, type, frac, tidy, check, tol"
annuity_x,"lt, x, i, n, m, k, timing, woolhouse, tidy"
insurance_x,"lt, x, i, n, m, type, tidy"
premium_x,"lt, x, i, product, benefit, n, m, k, frac, premium_timing, prem_start, n_prem, woolhouse, tidy, check"
reserve_x,"lt, x, i, type, n, benefit, premium, h, at, method, tidy"
t_pxy,"lt, x, y, t, frac, status"
e_xy,"lt, x, y, t, type, frac, cohort, tidy, check, tol"
annuity_xy,"lt, x, y, i, cohort, benefit, n, m, k, timing, woolhouse, frac, tidy"
insurance_xy,"lt, x, y, i, n, m, type, cohort, tidy"
premium_xy,"lt, x, y, i, product, type, benefit, n, m, k, frac, premium_timing, prem_start, n_prem, cohort, tidy, check, tol"
reserve_xy,"lt, x, y, i, type, cohort, n, benefit, premium, h, at, method, tidy"
annuity_multi,"lt, ages, annuity, cohort, alpha, n, m, k, timing, woolhouse, i"
apv_life_flow,"lt, ages, time, date, start_date, cf, i, status, alpha, plot"
insurance_variable_k,"lt, x, i, benefit, n, m, k, frac, tidy, check"
premium_gross,"prem, alpha, beta, gamma, tidy"
km_lifetable,"time, status, entry, breaks, radix, conf_level, assumption"
plot_km,"km, time_col, surv_col, lower_col, upper_col, conf_int, title"
