tabla,sexo,x,lx,dx,qx,px,mu,ex,fuente,qx_calculado,diferencia_qx
BEPS_2014,Hombres,15,1000000,1129,0.001129,0.998871,,62.2,r0110_14,0.001129,0.0
BEPS_2014,Hombres,16,998871,1135,0.001137,0.998863,,61.2,r0110_14,0.00113628,7.2e-07
BEPS_2014,Hombres,17,997735,1145,0.001147,0.998853,,60.3,r0110_14,0.0011476,-6e-07
BEPS_2014,Hombres,18,996591,1153,0.001157,0.998843,,59.4,r0110_14,0.00115694,6e-08
BEPS_2014,Hombres,19,995437,1165,0.001171,0.998829,,58.4,r0110_14,0.00117034,6.6e-07
BEPS_2014,Hombres,20,994272,1178,0.001185,0.998815,,57.5,r0110_14,0.00118479,2.1e-07
BEPS_2014,Hombres,21,993094,1194,0.001202,0.998798,,56.6,r0110_14,0.0012023,-3e-07
BEPS_2014,Hombres,22,991899,1213,0.001223,0.998777,,55.6,r0110_14,0.00122291,9e-08
BEPS_2014,Hombres,23,990687,1232,0.001243,0.998757,,54.7,r0110_14,0.00124358,-5.8e-07
BEPS_2014,Hombres,24,989455,1255,0.001268,0.998732,,53.8,r0110_14,0.00126838,-3.8e-07
BEPS_2014,Hombres,25,988200,1280,0.001296,0.998704,,52.9,r0110_14,0.00129528,7.2e-07
BEPS_2014,Hombres,26,986920,1307,0.001325,0.998675,,51.9,r0110_14,0.00132432,6.8e-07
BEPS_2014,Hombres,27,985613,1338,0.001357,0.998643,,51.0,r0110_14,0.00135753,-5.3e-07
BEPS_2014,Hombres,28,984275,1372,0.001393,0.998607,,50.1,r0110_14,0.00139392,-9.2e-07
BEPS_2014,Hombres,29,982903,1408,0.001432,0.998568,,49.1,r0110_14,0.00143249,-4.9e-07
BEPS_2014,Hombres,30,981495,1446,0.001474,0.998526,,48.2,r0110_14,0.00147326,7.4e-07
BEPS_2014,Hombres,31,980049,1491,0.001521,0.998479,,47.3,r0110_14,0.00152135,-3.5e-07
BEPS_2014,Hombres,32,978558,1538,0.001572,0.998428,,46.3,r0110_14,0.0015717,3e-07
BEPS_2014,Hombres,33,977020,1588,0.001625,0.998375,,45.4,r0110_14,0.00162535,-3.5e-07
BEPS_2014,Hombres,34,975432,1643,0.001685,0.998315,,44.5,r0110_14,0.00168438,6.2e-07
BEPS_2014,Hombres,35,973789,1702,0.001748,0.998252,,43.6,r0110_14,0.00174781,1.9e-07
