table,sex,x,lx,dx,qx,px,mu,ex,source,qx_calculated,qx_difference
Asegurados_1984_1988,Unisex,20,345,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,21,345,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,22,346,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,23,347,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,24,348,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,25,348,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,26,349,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,27,350,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,28,350,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,29,351,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,31,354,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,32,355,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,33,357,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,34,358,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,35,358,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,36,359,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,37,361,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,38,364,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,39,367,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,40,371,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,42,383,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,43,394,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,44,408,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,45,427,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,46,452,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,47,485,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,48,525,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,49,570,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,50,619,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,51,669,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,52,718,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,53,763,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,54,803,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,55,835,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,57,873,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,58,887,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,59,910,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,60,981,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,92,974,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,93,641,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,94,386,0,0,1,NA,NA,r0996_90,0,0
Asegurados_1984_1988,Unisex,95,361,209,0.57894737,0.42105263,NA,NA,r0996_90,0.57894737,0
Asegurados_1984_1988,Unisex,96,152,99,0.65131579,0.34868421,NA,NA,r0996_90,0.65131579,0
Asegurados_1984_1988,Unisex,97,53,39,0.73584906,0.26415094,NA,NA,r0996_90,0.73584906,0
Asegurados_1984_1988,Unisex,98,14,12,0.85714286,0.14285714,NA,NA,r0996_90,0.85714286,0
Asegurados_1984_1988,Unisex,99,2,2,1,0,NA,NA,r0996_90,1,0
Asegurados_1998_2003,female,20,100000,130,0.0013,0.9987,NA,57.39,r1112_07,0.0013,0
Asegurados_1998_2003,female,21,99870,134,0.001342,0.998658,NA,56.47,r1112_07,0.00134174,2.6e-7
Asegurados_1998_2003,female,22,99736,138,0.001384,0.998616,NA,55.54,r1112_07,0.00138365,3.5e-7
